isco3,isco3_label,isco2,isco2_label,isco1,isco1_label,esco_occupation_count,composite_description,sample_skills,esco_occupations
216,"Architects, planners, surveyors and designers",21,Science and engineering professionals,2,Professionals,46,"Occupation group: Architects, planners, surveyors and designers
Constituent occupations: 3D animator, 3D modeller, animation layout artist, animator, architect, automotive designer, cadastral technician, cartographer, clothing fashion designer, costume designer, desktop publisher, digital artist, digital games designer, digital media designer, fashion designer, footwear designer, furniture designer, gambling games designer, geographic information systems specialist, graphic designer, hydrographic surveyor, illustrator, industrial designer, interior architect, jewellery designer, land planner, land surveyor, landscape architect, landscape designer, leather goods designer, leather goods product developer, mine surveyor, mobility services manager, model maker, performance lighting designer, performance video designer, puppet designer, smart city consultant, special effects artist, stop-motion animator, textile colourist, textile designer, textile product developer, transport planner, urban planner, web designer

Representative occupation descriptions:
Performance video designers develop a projected image design concept for a performance and supervise the execution of it. Their work is based on research and artistic vision. Their design is influenced by and influences other designs and must be conform with these designs and the overall artistic vision. Therefore, the designers work closely with artistic directors, operators and the artistic team. Performance video designers prepare media fragments to be used in a performance, which can involve recording, composing, manipulating and editing. They develop plans, mapping, cue lists and other documentation to support the operators and production crew. They sometimes also work as autonomous artists, creating video art outside a performance context.

Performance lighting designers develop a lighting design concept for a performance and supervise the execution of it. Their work is based on research and artistic vision. Their design is influenced by and influences other designs and must be conform with these designs and the overall artistic vision. Therefore, the designers work closely with artistic directors, operators and the artistic team. During rehearsals and performance, they coach the operators to obtain optimal timing and manipulation. Performance lighting designers develop lighting plots, cue lists and other documentation to support the operators and production crew. They sometimes also work as autonomous artists, creating light art outside a performance context.

Web designers are in charge of creating the visual elements, layout and other aspects such as the easiness of use of a website. They follow the different phases of a website creation from the design to the implementation until it goes live. They work side by side with front-end developers to design user interfaces that met the needs of customers and are also appealing. They are responsible of developing mock-ups and of confirming the technical feasibility of the product. They can use and put together various types of elements for the website including graphics, animations, text, videos and photos. They are in contact with clients and stakeholders of the company to ensure that the design of the website meets their needs.",3D lighting; 3D texturing; CAD software; CADD software; CAM software; ICT environmental policies; ICT project management; ICT project management methodologies; ICT software specifications; JavaScript; JavaScript Framework; WebCMS; adapt existing designs to changed circumstances; adapt to artists' creative demands; adapt to new design materials,3D animator; 3D modeller; animation layout artist; animator; architect; automotive designer; cadastral technician; cartographer; clothing fashion designer; costume designer; desktop publisher; digital artist; digital games designer; digital media designer; fashion designer; footwear designer; furniture designer; gambling games designer; geographic information systems specialist; graphic designer; hydrographic surveyor; illustrator; industrial designer; interior architect; jewellery designer; land planner; land surveyor; landscape architect; landscape designer; leather goods designer; leather goods product developer; mine surveyor; mobility services manager; model maker; performance lighting designer; performance video designer; puppet designer; smart city consultant; special effects artist; stop-motion animator; textile colourist; textile designer; textile product developer; transport planner; urban planner; web designer
221,Medical doctors,22,Health professionals,2,Professionals,2,"Occupation group: Medical doctors
Constituent occupations: general practitioner, specialised doctor

Representative occupation descriptions:
General practitioners promote health, prevent, identify ill health, diagnose and treat diseases and promote recovery of physical and mental illness and health disorders of all kinds for all persons regardless of their age, sex or type of health problem.

Specialised doctors prevent, diagnose and treat diseases depending on their medical or surgical specialty.",Interpret diagnostic procedures for vascular surgery; assess physical conditions of clients; cancer risks; conduct cancer screening tests; conduct preoperative investigations; conduct research on reproductive medicine; counsel patients on fertility treatments; delegate emergency care; demonstrate disciplinary expertise; demonstrate technical skills during neurological surgery; dermapathology; develop long-term treatment course for disorders in the glandular system; diagnose brain death; diagnose disorders of the urogenital system; diagnose rheumatic diseases,general practitioner; specialised doctor
222,Nursing and midwifery professionals,22,Health professionals,2,Professionals,4,"Occupation group: Nursing and midwifery professionals
Constituent occupations: advanced nurse practitioner, midwife, nurse responsible for general care, specialist nurse

Representative occupation descriptions:
Specialist nurses promote and restore people's health, and diagnose and care within a specific branch of the nursing field. Examples of such specialist nursing jobs include but are not restricted to; ambulatory care nurse, advanced practice nurse, cardiac nurse, dental nurse, community health nurse, forensic nurse, gastroenterology nurse, hospice and palliative care nurse, paediatric nurse, public health nurse, rehabilitation nurse, renal nurse and school nurse. Specialist nurses are general care nurses prepared beyond the level of a nurse generalist and authorised to practice as specialists with specific expertise in a branch of the nursing field.

Advanced nurse practitioners are in charge of promoting and restoring patients` health, provide diagnosis and care in advanced settings, coordinating care within areas of chronic disease management, providing integrated care, and supervising assigned team members. Advanced nurse practitioners are general care nurses who have acquired an expert knowledge base, complex decision making skills and clinical competencies for expanded clinical practice on advanced level.

Midwives assist women in childbirth by providing the necessary support, care and advice during pregnancy, labour and the postpartum period, conduct births and provide care for the new-born. They advise on health, preventive measures, preparation for parenthood, detection of complications in mother and child, accessing of medical care, promoting normal birth and carrying out emergency measures.",accept own accountability; acute care; adapt leadership styles in healthcare; address problems critically; adhere to organisational guidelines; adolescence medicine; advise on childbirth; advise on family planning; advise on healthcare users' informed consent; advise on healthy lifestyles; advise on pregnancies at risk; advise on pregnancy; anaesthetics; analgesics; analyse quality of nurse care,advanced nurse practitioner; midwife; nurse responsible for general care; specialist nurse
223,Traditional and complementary medicine professionals,22,Health professionals,2,Professionals,5,"Occupation group: Traditional and complementary medicine professionals
Constituent occupations: acupuncturist, aromatherapist, complementary therapist, homeopath, traditional chinese medicine therapist

Representative occupation descriptions:
Complementary therapists use a range of complementary and alternative therapies to work simultaneously with the clients` body, mind, and spirit in a holistic approach. They offer practices and services for holistic wellbeing, health maintenance, health education, health promotion and prevention of illness, along with the sustainable treatment of certain illnesses, especially chronic illnesses. Their practices include but are not limited to acupuncture, aromatherapy, banotherapy, homeopathy, and herbal medicine.

Traditional Chinese medicine therapists use alternative medicine approaches to cure illnesses in all its forms. They also use various therapies such as the use of herbal medicines, acupuncture, massages and dietary therapies, to increase the general health of the patient and to prevent a disease from occurring.

Aromatherapists use essential oils extracted from herbal products at the level of the interface skin and mucous membranes to improve the clients` well-being. They treat a variety of illnesses and physical or psychological conditions, under supervision and on a doctor's order.",accept own accountability; acupuncture methods; advise on healthcare users' informed consent; advise on healthy lifestyles; advise on mental health; apply acupuncture; apply aromatherapy; apply context specific clinical competences; apply massage oil; apply massage therapy; archive healthcare users' records; biomedicine; carry out preventative internal medicine interventions; complementary and alternative medicine; comply with legislation related to health care,acupuncturist; aromatherapist; complementary therapist; homeopath; traditional chinese medicine therapist
225,Veterinarians,22,Health professionals,2,Professionals,11,"Occupation group: Veterinarians
Constituent occupations: animal chiropractor, animal hydrotherapist, animal massage therapist, animal osteopath, animal physiotherapist, animal therapist, aquatic animal health professional, general veterinarian, official veterinarian, specialised veterinarian, veterinary scientist

Representative occupation descriptions:
Aquatic animal health professionals diagnose, prevent and treat diseases, injuries and dysfunctions of aquatic animals by implementing appropriate sampling protocols. They supervise the use of medicines, including vaccines, and collect data on fish health, making regular reports to the appropriate personnel. They may provide care to a wide range of aquatic animals or specialise in the treatment of a particular group or in a particular speciality area. They may provide advice, support and training to farm staff on best practice with regard to the health and welfare of the cultured organisms.

Official veterinarians are professionals with a comprehensive scientific education. They have the authority to carry out, in an independent, ethical and personally responsible capacity all veterinary activities with particular focus on the health and welfare of animals and public health in accordance with national and international legislation. They are responsible for national animal disease eradication programmes, the protection of public health and food or animal inspection, animal movements, and import and export of live animals and their products.

General veterinarians are professionals with a comprehensive scientific education. They have the authority to carry out, in an independent, ethical and personally responsible capacity, all aspects of veterinary medicine, in the interest of the health and welfare of animals and public health in accordance with national and international legislation. The generalist veterinarian can work with any species, however they may choose to work with a single species or types such as equine, companion or production animals.",administer hydrotherapy; administer treatments to fish; advise on animal welfare; advise on livestock disease control; analyse fish samples for diagnosis; analyse work-related written reports; anatomy of animals; animal behaviour; animal food products; animal production science; animal welfare; animal welfare legislation; applied zoology; apply animal hygiene practices; apply for research funding,animal chiropractor; animal hydrotherapist; animal massage therapist; animal osteopath; animal physiotherapist; animal therapist; aquatic animal health professional; general veterinarian; official veterinarian; specialised veterinarian; veterinary scientist
226,Other health professionals,22,Health professionals,2,Professionals,46,"Occupation group: Other health professionals
Constituent occupations: advanced physiotherapist, anatomical pathology technician, animal assisted therapist, art therapist, audiologist, biomedical scientist, biomedical scientist advanced, chiropractor, cytotechnologist, dance therapist, dental hygienist, dental practitioner, dental technician, diagnostic radiographer, dietitian, emergency response coordinator, ergonomist, food safety specialist, health and safety officer, hospital pharmacist, industrial pharmacist, kinesiologist, medical physics expert, music therapist, nuclear medicine radiographer, occupational therapist, occupational therapy assistant, optometrist, orthoptist, osteopath, pharmaceutical quality specialist, pharmacist, pharmacy technician, physiotherapist, podiatrist, podiatry assistant, prepared meals nutritionist, prosthetic-orthotics technician, radiation protection officer, radiographer, recreational therapist, specialist biomedical scientist, specialist chiropractor, specialist dentist, specialist pharmacist, speech and language therapist

Representative occupation descriptions:
Medical physics experts advice on matters related to radiation physics applied to medical exposure. They are responsible for dosimetry and the optimisation of the radiation protection of patients and other individuals subjected to medical exposure, including the application and use of diagnostic reference levels. Medical physics experts are involved in the selection of medical radiological equipment, the quality assurance including acceptance testing, the preparation of technical specifications, and the installation, design and surveillance of the medical radiological installations. They also analyse the events involving accidental or unintended medical exposures and are responsible for the training of practitioners and other staff in relevant aspects of radiation protection.

Biomedical scientists perform all laboratory methods required as part of medical examination, monitoring, treatment, and research activities which involves designing, planning, organizing, applying, evaluating, interpreting and validating all analytical processes. They develop their activity in several fields of expertise such as haematology, microbiology, clinical immunology, cytopathology, histopathology, immunohistochemistry, and clinical biochemistry among others. This requires the application of qualitative and quantitative laboratory methods, including image analysis and digital pathology, to provide an investigative report and diagnostic opinion on products of a biological nature.

Pharmaceutical quality specialists perform inspections and precision measurements in order to test and ensure the quality of pharmaceutical products. They are involved in the whole development phase of a pharmaceutical product until it is ready for the market. This includes the process of acquiring clinical trial licences, advising the pharmaceutical development staff on regulatory requirements and evaluating the content of the package leaflet and other documentation on the product. Moreover, pharmaceutical quality specialists collect and evaluate information on side effects of the product and communicate this knowledge both internally and to the relevant authorities.",accept own accountability; acoustics; adapt hearing tests; adhere to health well-being and safety; adhere to organisational code of ethics; adhere to organisational guidelines; adjust cochlear implants; adjust hearing aids; adjust physiotherapy interventions; administer contrast media; administer radiopharmaceuticals; administrative tasks in a medical environment; advise customers on optical instruments maintenance; advise food industry; advise healthcare users on occupational health,advanced physiotherapist; anatomical pathology technician; animal assisted therapist; art therapist; audiologist; biomedical scientist; biomedical scientist advanced; chiropractor; cytotechnologist; dance therapist; dental hygienist; dental practitioner; dental technician; diagnostic radiographer; dietitian; emergency response coordinator; ergonomist; food safety specialist; health and safety officer; hospital pharmacist; industrial pharmacist; kinesiologist; medical physics expert; music therapist; nuclear medicine radiographer; occupational therapist; occupational therapy assistant; optometrist; orthoptist; osteopath; pharmaceutical quality specialist; pharmacist; pharmacy technician; physiotherapist; podiatrist; podiatry assistant; prepared meals nutritionist; prosthetic-orthotics technician; radiation protection officer; radiographer; recreational therapist; specialist biomedical scientist; specialist chiropractor; specialist dentist; specialist pharmacist; speech and language therapist
231,University and higher education teachers,23,Teaching professionals,2,Professionals,45,"Occupation group: University and higher education teachers
Constituent occupations: anthropology lecturer, archaeology lecturer, architecture lecturer, art studies lecturer, assistant lecturer, biology lecturer, business lecturer, chemistry lecturer, classical languages lecturer, communications lecturer, computer science lecturer, dentistry lecturer, earth science lecturer, economics lecturer, education studies lecturer, engineering lecturer, fine arts instructor, food science lecturer, healthcare specialist lecturer, higher education lecturer, history lecturer, journalism lecturer, law lecturer, linguistics lecturer, mathematics lecturer, medicine lecturer, modern languages lecturer, music instructor, nursing lecturer, performing arts school dance instructor, performing arts theatre instructor, pharmacy lecturer, philosophy lecturer, physics lecturer, politics lecturer, psychology lecturer, religious studies lecturer, social work lecturer, social work practice educator, sociology lecturer, space science lecturer, university literature lecturer, university research assistant, university teaching assistant, veterinary medicine lecturer

Representative occupation descriptions:
Veterinary medicine lecturers are subject professors, teachers, or lecturers, and often doctors who instruct students who have obtained an upper secondary education diploma in their own specialised field of study, veterinary medicine, which is predominantly academic in nature. They work with their university research assistants and university teaching assistants for the preparation of lectures and of exams, for grading papers and exams, for leading laboratory practices, and for leading review and feedback sessions for the students. They also conduct academic research in their respective field of veterinary medicine, publish their findings and liaise with other university colleagues.

Healthcare specialist lecturers are subject professors, teachers, or lecturers, and often doctors who instruct students who have obtained an upper secondary education diploma in their own specialised field of healthcare, which is predominantly academic in nature. They work with their university research assistants and university teaching assistants for the preparation of lectures and of exams, for grading papers and exams, for leading laboratory practices, and for leading review and feedback sessions for the students. They also conduct academic research in their respective field of specialist healthcare, publish their findings and liaise with other university colleagues.

Dentistry lecturers are subject professors, teachers, or lecturers, and often doctors who instruct students who have obtained an upper secondary education diploma in their own specialised field of study, dentistry, which is predominantly academic in nature. They work with their university research assistants and university teaching assistants for the preparation of lectures and of exams, for grading papers and exams, for leading laboratory practices, and for leading review and feedback sessions for the students. They also conduct academic research in their respective field of dentistry, publish their findings and liaise with other university colleagues.",ABAP; APL; ASP.NET; Adobe Illustrator; Adobe Photoshop; Ancient Greek; Assembly (computer programming); C#; C++; COBOL; CoffeeScript; Common Lisp; Earth science; Erlang; GIMP (graphics editor software),anthropology lecturer; archaeology lecturer; architecture lecturer; art studies lecturer; assistant lecturer; biology lecturer; business lecturer; chemistry lecturer; classical languages lecturer; communications lecturer; computer science lecturer; dentistry lecturer; earth science lecturer; economics lecturer; education studies lecturer; engineering lecturer; fine arts instructor; food science lecturer; healthcare specialist lecturer; higher education lecturer; history lecturer; journalism lecturer; law lecturer; linguistics lecturer; mathematics lecturer; medicine lecturer; modern languages lecturer; music instructor; nursing lecturer; performing arts school dance instructor; performing arts theatre instructor; pharmacy lecturer; philosophy lecturer; physics lecturer; politics lecturer; psychology lecturer; religious studies lecturer; social work lecturer; social work practice educator; sociology lecturer; space science lecturer; university literature lecturer; university research assistant; university teaching assistant; veterinary medicine lecturer
232,Vocational education teachers,23,Teaching professionals,2,Professionals,25,"Occupation group: Vocational education teachers
Constituent occupations: agriculture, forestry and fishery vocational teacher, air traffic instructor, armed forces training and education officer, auxiliary nursing and midwifery vocational teacher, beauty vocational teacher, business administration vocational teacher, business and marketing vocational teacher, cabin crew instructor, design and applied arts vocational teacher, electricity and energy vocational teacher, electronics and automation vocational teacher, firefighter instructor, food service vocational teacher, hairdressing vocational teacher, hospitality vocational teacher, industrial arts vocational teacher, maritime instructor, medical laboratory technology vocational teacher, occupational driving instructor, occupational railway instructor, physical education vocational teacher, police trainer, transport technology vocational teacher, travel and tourism vocational teacher, vocational teacher

Representative occupation descriptions:
Armed forces training and education officers train probationary, new academy recruits, or cadets, on the theory and practice necessary to become a soldier or a military officer, and need experience as a military officer themselves as a requirement to instruct. They prepare and present theoretical courses and materials during training on subjects such as law, national and international regulations, defense and offense models, world affairs etc. They also conduct the physical training of the cadets, teaching them care and usage of weapon and machinery, first aid, self defense and offense techniques, military vehicle operations, and putting them through a series of heavy drills and physical training. Armed forces training and education officers manage training plans by developing and updating the curriculum and field training exercises when necessary. They also assist senior officers in preparation for a promotion and generally monitor the cadets' progress and evaluate their performance through a series of theoretical and physical tests. They prepare performance and evaluation reports for each cadet individually.

Firefighter instructors train probationary, new academy recruits, or cadets, on the theory and practice necessary to become a firefighter. They conduct theoretical lectures on academic subjects such as law, basic chemistry, safety regulations, risk management, fire prevention, reading blueprints etc. Fire academy instructors also provide more hands-on, practical instruction regarding the usage of assistive equipment and rescue tools such as a fire hose, fire axe, smoke mask etc., but also heavy physical training, breathing techniques, first aid, self defense tactics and vehicle operations. They also prepare and develop lesson plans and new training programmes as new public service-related regulations and issues arise. The instructors monitor the students' progress, evaluate them individually and prepare performance evaluation reports.

Physical education vocational teachers instruct students in their specialised field of study, physical education, which is predominantly practical in nature. They provide theoretical instruction in service of the practical skills and techniques the students must subsequently master for a physical education-related profession, such as health specialist or outdoor activities organiser. They induce students in the convenient social frameworks of their field of study and teach the appropriate attitudes and values. Physical education vocational teachers monitor the students' progress, assist individually when necessary, and evaluate their knowledge and performance on the subject of physical education through assignments, tests and examinations.",Global Maritime Distress and Safety System; accounting; adapt teaching to student's capabilities; adapt training to labour market; air traffic control operations; air traffic management; air transport law; analyse weather forecast; analyse work-related written reports; apply first response; apply intercultural teaching strategies; apply teaching strategies; apply technical communication skills; assess danger in risk areas; assess students,"agriculture, forestry and fishery vocational teacher; air traffic instructor; armed forces training and education officer; auxiliary nursing and midwifery vocational teacher; beauty vocational teacher; business administration vocational teacher; business and marketing vocational teacher; cabin crew instructor; design and applied arts vocational teacher; electricity and energy vocational teacher; electronics and automation vocational teacher; firefighter instructor; food service vocational teacher; hairdressing vocational teacher; hospitality vocational teacher; industrial arts vocational teacher; maritime instructor; medical laboratory technology vocational teacher; occupational driving instructor; occupational railway instructor; physical education vocational teacher; police trainer; transport technology vocational teacher; travel and tourism vocational teacher; vocational teacher"
233,Secondary education teachers,23,Teaching professionals,2,Professionals,19,"Occupation group: Secondary education teachers
Constituent occupations: ICT teacher secondary school, art teacher secondary school, biology teacher secondary school, business studies and economics teacher secondary school, chemistry teacher secondary school, classical languages teacher secondary school, drama teacher secondary school, geography teacher secondary school, history teacher secondary school, literature teacher at secondary school, mathematics teacher at secondary school, modern languages teacher secondary school, music teacher secondary school, philosophy teacher secondary school, physical education teacher secondary school, physics teacher secondary school, religious education teacher at secondary school, science teacher secondary school, secondary school teacher

Representative occupation descriptions:
Business studies and economics teachers at secondary schools provide education to students, commonly children and young adults, in a secondary school setting. They are usually subject teachers, specialised and instructing in their own field of study, business and economics. They prepare lesson plans and materials, monitor the students' progress, assist individually when necessary, and evaluate the students' knowledge and performance on the subject of business and economics through assignments, tests and examinations.

Physical education teachers at secondary schools provide education to students, commonly children and young adults, in a secondary school setting. They are usually subject teachers, specialised and instructing in their own field of study, physical education . They prepare lesson plans and materials, monitor the students’ progress, assist individually when necessary, and evaluate the students’ knowledge and performance on the subject of physical education through practical, usually physical, tests and examinations.

Classical languages teachers at secondary schools provide education to students, commonly children and young adults, in a secondary school setting. They are usually subject teachers, specialised and instructing in their own field of study, classical languages. They prepare lesson plans and materials, monitor the students' progress, assist individually when necessary, and evaluate the students' knowledge and performance on the subject of classical languages through assignments, tests and examinations.",Ancient Greek; ICT hardware specifications; ICT software specifications; Latin; Sanskrit; acting techniques; adapt teaching to student's capabilities; analyse a script; apply intercultural teaching strategies; apply risk management in sports; apply teaching strategies; assess students; assign homework; assist students in their learning; astronomy,ICT teacher secondary school; art teacher secondary school; biology teacher secondary school; business studies and economics teacher secondary school; chemistry teacher secondary school; classical languages teacher secondary school; drama teacher secondary school; geography teacher secondary school; history teacher secondary school; literature teacher at secondary school; mathematics teacher at secondary school; modern languages teacher secondary school; music teacher secondary school; philosophy teacher secondary school; physical education teacher secondary school; physics teacher secondary school; religious education teacher at secondary school; science teacher secondary school; secondary school teacher
234,Primary school and early childhood teachers,23,Teaching professionals,2,Professionals,5,"Occupation group: Primary school and early childhood teachers
Constituent occupations: Freinet school teacher, Montessori school teacher, Steiner school teacher, early years teacher, primary school teacher

Representative occupation descriptions:
Primary school teachers instruct students on a primary school level. They develop lesson plans in line with curriculum objectives for the variety of subjects they teach, including mathematics, languages, nature studies and music. They monitor the students' learning development and evaluate their knowledge and skills on the subjects taught through tests. They build their course content on the students' knowledge of previous learnings and encourage them to deepen their understanding on the subjects they are interested in. They use class resources and teaching methods to create an inspiring learning environment. Primary school teachers also contribute to school events and communicate with parents and administrative staff.

Freinet school teachers educate students using approaches that reflect the Freinet philosophy and principles. They focus on enquiry-based, democracy-implementing and cooperative learning methods. They adhere to a specific curriculum that incorporates these learning methods through which students use trial and error practices in order to develop their own interests in a democratic, self-government context. Freinet school teachers also encourage students to practically create products and provide services in and outside of class, usually handcrafted or personally initiated, implementing the 'pedagogy of work' theory. They manage and evaluate all the students separately according to the Freinet school philosophy.

Steiner school teachers educate students using approaches that reflect the (Waldorf) Steiner philosophy and principles. They focus on practical, hands-on activities in the curriculum and instruct their classes in a manner that emphasises the development of the students' social, creative and artistic capacities. Steiner school teachers instruct students in similar subjects to the ones in standardised education, although using a different approach, and with the exception of a higher amount of classes focused on creative and artistic practice and theory. They use teaching techniques that support the (Waldorf) Steiner school philosophy, evaluate students' learning progress and communicate with other school staff.",Freinet teaching principles; Montessori learning equipment; Montessori philosophy; Montessori teaching principles; Steiner principles; adapt teaching to student's capabilities; apply Freinet teaching strategies; apply Montessori teaching strategies; apply Steiner teaching strategies; apply intercultural teaching strategies; apply teaching strategies; assess students; assess the development of youth; assessment processes; assign homework,Freinet school teacher; Montessori school teacher; Steiner school teacher; early years teacher; primary school teacher
235,Other teaching professionals,23,Teaching professionals,2,Professionals,37,"Occupation group: Other teaching professionals
Constituent occupations: ICT trainer, academic advisor, academic support officer, admissions coordinator, adult literacy teacher, arts education officer, assessor of prior learning, assistive technologist, circus arts teacher, curriculum administrator, dance teacher, digital literacy teacher, drama teacher, e-learning architect, e-learning developer, early years special educational needs teacher, education inspector, educational counsellor, educational researcher, further education teacher, instructional designer, language school teacher, learning mentor, learning support teacher, music teacher, photography teacher, prison instructor, public speaking coach, sign language teacher, special educational needs coordinator, special educational needs itinerant teacher, special educational needs teacher, special educational needs teacher primary school, special educational needs teacher secondary school, teacher of talented and gifted students, tutor, visual arts teacher

Representative occupation descriptions:
Special educational needs teachers at secondary schools provide specially-designed instruction to students on with a variety of disabilities on a secondary school level and ensure they reach their learning potential. Some special educational needs teachers at secondary schools work with children who have mild to moderate disabilities, implementing a modified curriculum to fit each student's specific needs. Other special educational needs teachers at secondary schools assist and instruct students with intellectual disabilities and autism, focusing on teaching them basic and advanced literacy, life and social skills. All teachers assess the students' progress, taking into account their strengths and weaknesses, and communicate their findings to parents, counselors, administrators and other parties involved.

Special educational needs teachers at primary schools provide specially-designed instruction to students with a variety of disabilities on a primary school level and ensure they reach their learning potential. Some special educational needs teachers at primary schools work with children who have mild to moderate disabilities, implementing a modified curriculum to fit each student's specific needs. Other special educational needs teachers at primary schools assist and instruct students with intellectual disabilities and autism, focusing on teaching them basic and advanced literacy, life and social skills. All teachers assess the students' progress, taking into account their strengths and weaknesses, and communicate their findings to parents, counselors, administrators and other parties involved.

Further education teachers organise and teach programmes designed specifically for adult learners. They impart a wide spectrum of subjects, ranging from academic areas such as mathematics and history, to trainings for personality development, technical expertise or practical courses like languages and ICT. They teach and support adults aspiring to broaden their knowledge and their personal and professional skills and/or to achieve further qualifications. Further education teachers consider the previous knowledge and the work and life experience of the learners. They individualize their teaching and involve the students in the planning and executing of their learning activities. Further education teachers design reasonable assignments and examinations suitable to their adult learners.",Computer Assisted Language Learning; ICT accessibility standards; ICT hardware specifications; ICT software specifications; acting techniques; action research; adapt artistic plan to location; adapt teaching to student's capabilities; adapt teaching to target group; adapt training to labour market; address problems critically; adolescent psychological development; adult education; advise on curriculum development; advise on learning methods,ICT trainer; academic advisor; academic support officer; admissions coordinator; adult literacy teacher; arts education officer; assessor of prior learning; assistive technologist; circus arts teacher; curriculum administrator; dance teacher; digital literacy teacher; drama teacher; e-learning architect; e-learning developer; early years special educational needs teacher; education inspector; educational counsellor; educational researcher; further education teacher; instructional designer; language school teacher; learning mentor; learning support teacher; music teacher; photography teacher; prison instructor; public speaking coach; sign language teacher; special educational needs coordinator; special educational needs itinerant teacher; special educational needs teacher; special educational needs teacher primary school; special educational needs teacher secondary school; teacher of talented and gifted students; tutor; visual arts teacher
241,Finance professionals,24,Business and administration professionals,2,Professionals,35,"Occupation group: Finance professionals
Constituent occupations: accountant, accounting analyst, audit supervisor, bankruptcy trustee, budget analyst, business valuer, corporate banking adviser, corporate investment banker, corporate risk manager, cost analyst, dividend analyst, financial analyst, financial auditor, financial controller, financial fraud examiner, financial planner, financial risk manager, grants management officer, insurance rating analyst, investment adviser, investment analyst, investment fund management assistant, investment fund manager, investment manager, investor relations manager, mergers and acquisitions analyst, middle office analyst, personal trust officer, programme funding manager, public finance accountant, public funding advisor, relationship banking manager, securities analyst, tax advisor, venture capitalist

Representative occupation descriptions:
Investment fund managers implement and monitor the investment strategy of a fund. They manage the fund's portfolio trading activities and supervise the financial, securities, and investment analysts in charge to perform research on the investments and then make buying and selling recommendations. They make decisions on when to buy or sell the assets included in a portfolio. Investment fund managers works in a variety of settings such as banks, investment vehicles and stockbroking companies, working closely with the investment analyst. This occupation manages strategy and does not always work with relations between shareholders or investors.

Financial auditors collect and examine financial data for clients, organisations and companies. They ensure the financial data is properly maintained and free of material misstatements due to error or fraud, that it adds up, and functions legally and effectively. They review lending and credit policies or numbers in databases and documents, evaluate, consult and assist the source of the transaction if necessary. They use their review of the client's financial governance as assurance to give testimony to the shareholders, stakeholders and board of directors of the organisation or company that all is up to par.

Investment analysts undertake research to make informed recommendations to fund managers. They research investments globally but depending on the nature and field of their employer they can specialise in fields like retail, infrastructure, energy, banking and financial services. They focus on financial and economical information such as the political and economic developments that can impact financial markets, the financial performance of the target companies and use the interpretation of data from different sources to understand how it affects investment decision making.",accounting; accounting department processes; accounting entries; accounting techniques; actuarial science; address identified risks; advise on bankruptcy proceedings; advise on financial matters; advise on grants application; advise on investment; advise on participation in financial markets; advise on risk management; advise on tax planning; advise on tax policy; align efforts towards business development,accountant; accounting analyst; audit supervisor; bankruptcy trustee; budget analyst; business valuer; corporate banking adviser; corporate investment banker; corporate risk manager; cost analyst; dividend analyst; financial analyst; financial auditor; financial controller; financial fraud examiner; financial planner; financial risk manager; grants management officer; insurance rating analyst; investment adviser; investment analyst; investment fund management assistant; investment fund manager; investment manager; investor relations manager; mergers and acquisitions analyst; middle office analyst; personal trust officer; programme funding manager; public finance accountant; public funding advisor; relationship banking manager; securities analyst; tax advisor; venture capitalist
